source,target
cube30_cluster2,cube39_cluster0
cube30_cluster2,cube40_cluster0
cube30_cluster2,cube41_cluster2
cube30_cluster2,cube42_cluster0
cube30_cluster2,cube50_cluster0
cube30_cluster2,cube51_cluster0
cube30_cluster2,cube52_cluster0
cube30_cluster2,cube53_cluster0
cube30_cluster2,cube59_cluster1
cube30_cluster2,cube60_cluster1
cube30_cluster2,cube61_cluster2
cube30_cluster2,cube62_cluster0
cube31_cluster0,cube32_cluster0
cube31_cluster0,cube33_cluster0
cube31_cluster0,cube39_cluster0
cube31_cluster0,cube40_cluster0
cube31_cluster0,cube41_cluster0
cube31_cluster0,cube41_cluster2
cube31_cluster0,cube42_cluster0
cube31_cluster0,cube42_cluster2
cube31_cluster0,cube43_cluster2
cube31_cluster0,cube50_cluster0
cube31_cluster0,cube51_cluster0
cube31_cluster0,cube52_cluster0
cube31_cluster0,cube53_cluster0
cube31_cluster0,cube59_cluster1
cube31_cluster0,cube60_cluster1
cube31_cluster0,cube61_cluster2
cube31_cluster0,cube62_cluster0
cube31_cluster1,cube32_cluster1
cube31_cluster1,cube33_cluster1
cube31_cluster1,cube40_cluster1
cube31_cluster1,cube41_cluster1
cube31_cluster1,cube42_cluster1
cube31_cluster1,cube43_cluster0
cube31_cluster1,cube51_cluster1
cube31_cluster1,cube52_cluster1
cube31_cluster1,cube53_cluster1
cube31_cluster1,cube61_cluster0
cube31_cluster1,cube62_cluster1
cube31_cluster2,cube32_cluster2
cube31_cluster2,cube33_cluster2
cube31_cluster2,cube40_cluster0
cube31_cluster2,cube40_cluster2
cube31_cluster2,cube41_cluster0
cube31_cluster2,cube41_cluster2
cube31_cluster2,cube42_cluster0
cube31_cluster2,cube43_cluster1
cube32_cluster0,cube33_cluster0
cube32_cluster0,cube39_cluster0
cube32_cluster0,cube40_cluster0
cube32_cluster0,cube41_cluster0
cube32_cluster0,cube41_cluster2
cube32_cluster0,cube42_cluster0
cube32_cluster0,cube42_cluster2
cube32_cluster0,cube43_cluster2
cube32_cluster0,cube50_cluster0
cube32_cluster0,cube51_cluster0
cube32_cluster0,cube52_cluster0
cube32_cluster0,cube53_cluster0
cube32_cluster0,cube59_cluster1
cube32_cluster0,cube60_cluster1
cube32_cluster0,cube61_cluster2
cube32_cluster0,cube62_cluster0
cube32_cluster1,cube33_cluster1
cube32_cluster1,cube40_cluster1
cube32_cluster1,cube41_cluster1
cube32_cluster1,cube42_cluster1
cube32_cluster1,cube43_cluster0
cube32_cluster1,cube51_cluster1
cube32_cluster1,cube52_cluster1
cube32_cluster1,cube53_cluster1
cube32_cluster1,cube61_cluster0
cube32_cluster1,cube62_cluster1
cube32_cluster2,cube33_cluster2
cube32_cluster2,cube40_cluster0
cube32_cluster2,cube40_cluster2
cube32_cluster2,cube41_cluster0
cube32_cluster2,cube41_cluster2
cube32_cluster2,cube42_cluster0
cube32_cluster2,cube43_cluster1
cube33_cluster0,cube41_cluster0
cube33_cluster0,cube42_cluster2
cube33_cluster0,cube43_cluster2
cube33_cluster1,cube40_cluster1
cube33_cluster1,cube41_cluster1
cube33_cluster1,cube42_cluster1
cube33_cluster1,cube43_cluster0
cube33_cluster1,cube51_cluster1
cube33_cluster1,cube52_cluster1
cube33_cluster1,cube53_cluster1
cube33_cluster1,cube61_cluster0
cube33_cluster1,cube62_cluster1
cube33_cluster2,cube40_cluster2
cube33_cluster2,cube41_cluster0
cube33_cluster2,cube42_cluster0
cube33_cluster2,cube43_cluster1
cube39_cluster0,cube40_cluster0
cube39_cluster0,cube41_cluster2
cube39_cluster0,cube42_cluster0
cube39_cluster0,cube50_cluster0
cube39_cluster0,cube51_cluster0
cube39_cluster0,cube52_cluster0
cube39_cluster0,cube53_cluster0
cube39_cluster0,cube59_cluster0
cube39_cluster0,cube59_cluster1
cube39_cluster0,cube60_cluster0
cube39_cluster0,cube60_cluster1
cube39_cluster0,cube61_cluster1
cube39_cluster0,cube61_cluster2
cube39_cluster0,cube62_cluster0
cube39_cluster0,cube65_cluster0
cube39_cluster0,cube66_cluster0
cube39_cluster0,cube67_cluster1
cube39_cluster1,cube40_cluster0
cube39_cluster1,cube41_cluster2
cube39_cluster1,cube50_cluster2
cube39_cluster1,cube51_cluster0
cube39_cluster1,cube52_cluster0
cube39_cluster1,cube59_cluster0
cube39_cluster1,cube60_cluster0
cube39_cluster1,cube61_cluster1
cube39_cluster1,cube65_cluster2
cube39_cluster1,cube66_cluster2
cube39_cluster1,cube67_cluster1
cube39_cluster2,cube40_cluster0
cube39_cluster2,cube41_cluster2
cube39_cluster2,cube42_cluster0
cube39_cluster2,cube50_cluster0
cube39_cluster2,cube51_cluster0
cube39_cluster2,cube52_cluster0
cube39_cluster2,cube53_cluster0
cube39_cluster2,cube59_cluster1
cube39_cluster2,cube60_cluster1
cube39_cluster2,cube61_cluster2
cube39_cluster2,cube62_cluster0
cube39_cluster2,cube65_cluster2
cube39_cluster2,cube66_cluster2
cube39_cluster2,cube67_cluster0
cube40_cluster0,cube41_cluster2
